"","distancia","potencia","tipo"
"1",0,0.0720927829212693,"ruido"
"2",1,0.181339037407906,"ruido"
"3",2,0.19043954644497,"ruido"
"4",3,0.100260166123012,"ruido"
"7",6,0.0406642634344683,"ruido"
"8",7,0.179689050054984,"ruido"
"11",10,0.0345220175239897,"ruido"
"12",11,0.139318484798058,"ruido"
"13",12,0.00849939518350076,"ruido"
"14",13,0.188505903709606,"ruido"
"15",14,0.133140997015518,"ruido"
"16",15,0.082711038176139,"ruido"
"17",16,0.181626813653178,"ruido"
"18",17,0.138547516281937,"ruido"
"19",18,0.0550824972787844,"ruido"
"20",19,0.122750493441816,"ruido"
"21",20,0.164351335797759,"ruido"
"22",21,0.135187334486205,"ruido"
"23",22,0.0337149792050521,"ruido"
"24",23,0.184991220506419,"ruido"
"25",24,0.214717622555862,"ruido"
"26",25,0.127002455654334,"ruido"
"27",26,0.113734466246219,"ruido"
"28",27,0.0917084919220162,"ruido"
"29",28,0.315357584630279,"ruido"
"30",29,0.126790553213579,"ruido"
"31",30,0.0832705971300056,"ruido"
"34",33,0.0911436799389435,"ruido"
"35",34,0.11947340448431,"ruido"
"36",35,0.126462245886161,"ruido"
"37",36,0.180854678044862,"ruido"
"38",37,0.0792157590679543,"ruido"
"39",38,0.220014879448256,"ruido"
"40",39,0.00632739571304217,"ruido"
"43",42,0.172465702418652,"ruido"
"44",43,0.0898590057660774,"ruido"
"45",44,0.17704579218205,"ruido"
"46",45,0.0712043578442915,"ruido"
"47",46,0.0386947897787187,"ruido"
"48",47,0.0609557424873494,"ruido"
"52",51,0.202831227197535,"ruido"
"53",52,0.03756299086372,"ruido"
"54",53,0.176136985279018,"ruido"
"55",54,0.248733060169196,"ruido"
"56",55,0.0777975190890058,"ruido"
"57",56,0.125251890635235,"ruido"
"59",58,0.0147690222480197,"ruido"
"60",59,0.102140484938284,"ruido"
"61",60,0.126308690333615,"ruido"
"62",61,0.0203391882701118,"ruido"
"63",62,0.36464189992268,"ruido"
"64",63,0.0501919860907611,"ruido"
"65",64,0.102328355663004,"ruido"
"66",65,0.160754186715352,"ruido"
"67",66,0.0930421365226005,"ruido"
"68",67,0.0311542612972886,"ruido"
"69",68,0.199906566396331,"ruido"
"70",69,0.25679353232072,"ruido"
"71",70,0.0921306028950165,"ruido"
"72",71,0.151185734540307,"ruido"
"73",72,0.085074750149737,"ruido"
"74",73,0.196316521770216,"ruido"
"76",75,0.326461022399448,"ruido"
"77",76,0.0338708752211662,"ruido"
"79",78,0.058824217280693,"ruido"
"80",79,0.1084298484145,"ruido"
"81",80,0.255962120768023,"ruido"
"82",81,0.184559967677132,"ruido"
"83",82,0.107521843204579,"ruido"
"85",84,0.00634022553278862,"ruido"
"86",85,0.0764465067770706,"ruido"
"87",86,0.347906611346059,"ruido"
"89",88,0.205361465184602,"ruido"
"90",89,0.0393555742766079,"ruido"
"91",90,0.258499089998742,"ruido"
"93",92,0.105898323466275,"ruido"
"95",94,0.181515642636168,"ruido"
"96",95,0.239352948873809,"ruido"
"97",96,0.285856100640115,"ruido"
"98",97,0.170351065758952,"ruido"
"99",98,0.274722625457782,"ruido"
"100",99,0.214841390866165,"ruido"
"101",100,0.0768125088175985,"ruido"
"102",101,0.13750272382847,"ruido"
