Host ID;Nº veces alquilado
58386783;42
102947901;1
102947901;0
131794;13
54310958;0
54310958;0
7047484;43
2839207;29
54310958;1
30713291;1
36775877;6
10690074;7
102947901;0
54310958;1
5143182;9
131794;90
54310958;4
23996000;1
695569;50
61358350;5
27256558;0
1838761;30
79056485;1
54310958;1
54310958;2
25529942;12
62209058;17
131794;15
102947901;0
54310958;2
13810104;27
794424;55
47170442;13
18814176;12
13594184;1
3721901;135
15104035;0
15455272;2
6769964;8
53919666;0
25709853;171
25465787;52
67750039;36
3511249;15
10812091;0
5144517;11
9228673;10
20534384;72
108823922;2
51564174;10
32552981;44
8244614;2
43935693;11
60494839;12
353616;16
596469;2
46450046;24
27780868;3
18047243;1
2976283;14
16077582;1
2272758;0
5956402;56
5889505;2
117644134;1
62536430;23
4628173;0
35939902;71
41146301;12
133565;0
21485458;0
38381963;16
55523234;1
58889526;4
17869445;0
99387671;18
115294374;2
7215389;5
98204234;9
14840550;12
23444591;1
12968726;4
9492487;1
70460994;15
3923350;5
77255787;2
74959035;0
17556638;0
3908623;22
33370443;0
2067679;52
1917171;23
4424222;17
23813738;3
4558443;0
6630531;13
1650712;8
1408525;15
71606767;6
91094403;0
3080124;1
16310133;3
8991046;0
96147078;2
96147078;1
43287987;30
33254599;1
16146361;1
124972;1
33290953;7
75150711;14
42356632;42
30752828;22
58706527;32
82917740;0
875689;0
34510984;0
17230432;9
51247441;0
11045636;5
111368680;1
123199487;0
78591533;9
41438706;13
11560317;4
805726;31
33898066;5
49876674;11
10437170;21
21102685;33
65365782;5
5031865;49
3441855;0
77354494;6
116102872;0
630482;66
30696902;0
14934907;0
44550572;34
73182373;31
115167216;2
6420689;13
6556421;0
55465187;0
43211259;26
9023441;30
77975740;7
4411586;0
9885245;5
120156451;0
7312751;0
8258846;0
25762936;3
41822330;32
107332075;1
86843365;6
6540814;0
14559405;2
37553921;7
19848881;0
51436577;15
42763400;6
15954098;4
18183857;14
59778147;0
21119863;0
51892899;0
44726632;27
22722667;17
16509221;16
46023547;0
88625874;11
5906378;8
40262084;0
51636039;36
51636039;1
87416031;31
119921947;0
5558099;2
38325740;2
37050184;33
3961575;15
10765211;12
35662774;3
51343326;7
33359984;9
3331390;175
103811864;13
101930506;10
2638528;7
16517500;18
29795379;0
5983930;8
29053317;8
1740337;8
5583460;20
22321820;8
34469078;14
47502283;49
33019093;82
26780049;16
378073;20
2864064;65
20907323;12
3726732;26
29053317;15
2174652;7
1650712;33
74964272;43
15642038;13
21514948;0
37291567;0
39134060;86
117750911;0
105344430;8
2711109;19
1408525;15
7850049;132
23696814;15
30750005;1
1422050;87
35468631;4
38731830;4
35468631;7
2991670;5
2991670;3
73900124;1
107860051;4
34050481;30
2991670;26
52212993;1
19788545;116
8177214;0
555695;18
2646146;11
89458982;5
53177198;32
93930798;0
5144517;13
3566146;6
27526991;25
35235553;1
48123204;16
38726574;1
10156746;64
15946553;15
15258781;0
2044655;89
24177974;48
54310958;21
9846097;1
70929474;1
79047367;47
28038703;24
27780904;58
30772680;2
59872792;19
37611348;88
7238782;7
4903694;0
34489775;3
63731340;0
99994045;0
107552554;4
38595605;0
43063704;21
92472849;29
3344686;5
21731634;15
17855462;15
96846155;19
3857792;5
20837929;0
35943851;1
72451667;4
97771688;1
30089847;12
53263666;0
3566146;9
7379616;1
85904059;24
33253946;31
48672581;4
66749979;2
64962726;0
2516266;3
40548819;18
21485458;3
110491914;0
75150135;4
40876307;1
57631899;35
19732001;28
20131276;16
19732001;10
62249646;12
75150135;0
49345052;7
26985712;7
5618733;19
7108328;0
17454576;12
14809898;18
23222398;1
100917869;1
5919800;19
7108328;0
7108328;1
368907;10
21514948;0
53928475;0
62551961;22
54310958;0
21514948;0
106149612;4
21514948;1
3821608;21
859310;32
8948736;15
18952826;2
791447;8
114529065;3
1718458;9
13614835;5
4200246;8
1499722;16
8864750;6
8864750;19
69600676;1
11448131;109
103860984;9
46709086;15
14472608;3
56031287;4
124240073;0
6046210;65
49261055;15
119791928;0
2005372;24
17499500;56
17410096;13
54310958;0
41032693;93
3061930;7
95717799;16
97074679;9
11757734;156
21510174;7
45791021;15
39151694;87
15258781;0
59571980;0
15197695;5
6992872;1
97588414;15
49684054;58
9285245;15
49955805;61
14722316;42
19132680;18
272678;78
9497894;1
117002004;0
2242135;5
54310958;0
2925707;0
7060357;18
43172155;9
2511677;0
11243579;39
606925;91
557423;292
21514948;3
37374923;76
4852683;0
28438558;84
6840576;46
605612;356
17499500;65
102589397;15
5012713;4
90196014;31
98888724;37
22036073;13
72643504;35
25796449;9
20029559;7
22529224;24
73938223;101
27102818;38
11872121;78
116126392;5
67040090;36
22640505;47
29642251;2
59170299;71
45429181;9
1740337;2
5239042;35
12344920;24
61295887;11
21514948;2
71435660;20
5162711;124
9597850;5
28968176;40
5896428;96
99372960;0
8827251;59
63324370;12
89498753;0
7889341;104
1769179;96
119791928;0
2419618;2
27526991;16
27652648;29
64026664;0
3765575;23
122684529;0
16626402;8
9351458;127
44205379;68
15258781;0
47923936;168
3525874;9
1652272;34
2294868;27
107157275;3
39262695;35
564233;5
24847782;1
40847316;0
27526991;28
5269420;8
913369;71
1721158;3
10282516;40
13594893;30
9932295;25
33019093;30
26732121;131
61051791;71
1925669;3
24442534;0
17556638;77
71435660;7
3667010;56
31509536;26
3256859;2
9137401;66
12000147;2
1803498;19
42039355;1
28330213;86
8759456;65
141962;32
8321213;98
12000147;2
79065023;19
12027564;107
21485458;2
7649063;95
495849;60
12030420;40
21514948;3
1724674;146
2247123;5
49486916;11
2848177;69
5698705;5
